"Real GDP growth (Annual percent change)","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","Estimates start after"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Austria","2.2999999999999998","-0.1","1.9","2.8","0.3","2.2000000000000002","2.2999999999999998","1.7","1","3.9","4.3","3.4","2.1","0.5","2.4","2.7","2.4","2.1","3.5","3.8","3.2","1.3","1.5","1.1000000000000001","2.6","2.2999999999999998","3.3","3.8","1.5","-3.6","1.8","2.9","0.6","-0.3","0.8","1.3","2.1","2.2999999999999998","2.5","1.8","-6.3","4.9000000000000004","5.3","-0.8","-0.7","0.6","0.7","1","1.3","1.1000000000000001","0.8","0.8",2025
"Azerbaijan","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-23.1","-19.7","-13","2.5","8.9","6","11.4","6.2","9.9","9.4","10.199999999999999","9.3000000000000007","26.4","34.5","25","10.8","9.3000000000000007","5","0.1","2.2000000000000002","5.8","2.8","1.1000000000000001","-3.1","0.2","1.5","2.5","-4.2","5.6","4.7","1.4","4.2","1.4","2.2000000000000002","2.5","2.5","2.5","2.5","2.5",2024
"Bahamas, The","7.1","-2.9","6.3","6.8","2.4","4.0999999999999996","2.6","3.7","2.2999999999999998","2.2999999999999998","1.1000000000000001","-4.2","-3.8","0.3","3.1","4.4000000000000004","4.2","4.9000000000000004","4.7","7.1","4.0999999999999996","2.6","2.7","-1.3","0.9","3.4","2.5","1.4","-2.2999999999999998","-4.2","1.5","0.6","4.5999999999999996","-2.9","1.8","1","-1.2","3.4","2.4","-0.8","-20.100000000000001","17.600000000000001","10.9","3","3.4","2.8","2.1","1.9","1.8","1.5","1.5","1.5",2024
"Bahrain","7.5","2.8","6.4","7","4.2","-0.9","0.5","-1.2","6","1","3.5","2.2999999999999998","7.1","7.6","3.2","1.9","3.2","2.2999999999999998","4.8","6","7","2.5","3.3","6.3","7","6.8","6.5","8.3000000000000007","6.2","2.5","4.3","1.9","3.8","5.3","4.3","2.5","3.8","5","2.1","2.1","-5.9","4.4000000000000004","6.2","3.9","2.9","3.1","-0.5","4.5","2.8","2.9","3.1","3.3",2024
"Bangladesh","no data","3.8","2.4","4","5.2","3.2","4.2","3.7","2.2000000000000002","2.6","5.9","3.3","5","4.5999999999999996","4.0999999999999996","4.9000000000000004","4.5999999999999996","4.5","5.2","4.7","5.3","5.0999999999999996","3.8","4.7","5.2","6.5","6.7","7.1","6","5","5.6","6.5","6.5","6","6.1","6.6","7.1","6.6","7.3","7.9","3.4","6.9","7.1","5.8","4.2","3.5","4.7","4.3","4.5","5.7","5.8","6.1",2025
"Barbados","4.4000000000000004","-1.9","-4.9000000000000004","0.5","3.6","1.1000000000000001","5.0999999999999996","2.6","3.5","3.6","-3.3","-3.9","-5.7","0.8","2","2","4","4.7","3.7","0.3","4.5","-2.4","0.8","2.2000000000000002","1.4","4","5.7","2.2999999999999998","0.7","-4.8","-2.2000000000000002","-0.1","-2.9","0.2","0.8","-0.8","1.4","0.7","-0.3","0.2","-17.399999999999999","8","15.9","1.8","3.4","2.7","2.5","2.2000000000000002","2","2","2","2",2024
"Belarus","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-7.6","-11.7","-11.1","2.8","11.4","8.4","3.4","5.8","4.7","5.0999999999999996","7.1","11.5","9.5","10","8.6","10.199999999999999","0.2","7.8","5.2","1.6","0.9","2.5","-3.8","-2.5","2.5","3.1","1.4","-0.7","2.2999999999999998","-4.5","4.0999999999999996","4.3","1.3","1.2","1","1","0.9","1","0.9",2024
"Belgium","4.4000000000000004","-0.3","0.6","0.3","2.5","1.7","1.8","2.2999999999999998","4.7","3.5","3.1","1.8","1.5","-1","3.2","2.4","1.3","3.8","2","3.5","3.7","1.1000000000000001","1.7","1","3.6","2.2999999999999998","2.6","3.7","0.4","-1.9","2.7","1.9","0.2","0.3","1.8","1.5","1.2","1.5","1.9","2.4","-4.8","6.3","4","1.7","1.1000000000000001","1","0.7","1.1000000000000001","1.1000000000000001","1.2","1.3","1.3",2024
"Belize","5","0.2","-7.6","6.1","11.3","-1.4","7.3","22","10.9","15.5","11.2","11.8","12.7","6.1","0","0.7","1.1000000000000001","4.2","3.9","9.4","12.2","5","5.4","9.6999999999999993","4.8","2.2000000000000002","4.5","3.3","-1.6","-0.4","1.4","-0.1","3.9","4.0999999999999996","3.9","2.8","0","-1.8","0.8","4.3","-13.5","18","9.3000000000000007","0.5","3.5","2.7","2.2000000000000002","2.1","2","2","2","2",2024
"Benin","9.3000000000000007","1.9","1.7","-2","0.4","4.3","2.7","-2.1","3.4","-2.8","9","4.2","3","5.8","2","6","4.3","5.7","4","4.4000000000000004","5.9","5.3","4.5999999999999996","3.4","4.4000000000000004","1.7","3.9","6","4.9000000000000004","2.2999999999999998","2.1","3","4.8","7.2","6.4","1.8","3.3","5.6","6.6","7.1","3.8","7.2","6.3","6.4","7.5","7.5","7","6.7","6.6","6.5","6","6",2024
"Bermuda","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Bhutan","5","13.6","8.1999999999999993","7.3","7.6","4.3","8","20.2","15.1","6.2","9.1","4.9000000000000004","2.1","3.2","2.2000000000000002","6","6","5.5","6","7.1","6.9","7","9.5","9","6.4","6.1","6.3","11","9.9","6.1","10.3","10.5","6.8","3.4","3.8","6.3","7.6","5.2","2.8","4.5999999999999996","-2.5","-3.3","4.8","4.9000000000000004","6.1","7.1","7.5","6.3","5.8","7.2","6.4","5.6",2024
"Bolivia","0.6","0.3","-3.9","-4","-0.2","-1.7","-2.6","2.5","2.9","3.8","4.5999999999999996","5.0999999999999996","1.9","4.3","4.7","4.7","4.5999999999999996","5","5.7","0.5","2.1","1.6","2.7","1.8","4.0999999999999996","4.2","4.7","5","6.7","3","4.5","5.5","5.5","7.1","5.8","4.9000000000000004","4.3","4.2","2.9","1.5","-12.7","10","3.7","2.5","-1.1000000000000001","-1.2","-3.3","no data","no data","no data","no data","no data",2025
"Bonaire, Sint Eustatius and Saba","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Bosnia and Herzegovina","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","20.7","62.2","22.9","13.8","10.7","4.4000000000000004","7.5","5","3.9","6.3","3.9","5.4","5.9","5.4","-3","0.9","1","-0.8","2.2999999999999998","1.2","4.3","3.2","3.2","3.8","2.9","-3","7.4","4.2","2","3.2","2","2.2000000000000002","2.7","3","3","3","3",2024
"Botswana","12","8.1999999999999993","15.9","10.8","6.5","7.7","8.6","14.9","23.4","4.7","8.8000000000000007","6.2","-0.2","4","-0.8","8.5","2.5","7.1","-1.6","8","4.3","2.2999999999999998","7.4","5.4","1.4","5","6","5.8","3.3","-14.1","10.1","6.8","-0.2","11.1","5.7","-4.9000000000000004","7.2","4.0999999999999996","4.2","3","-8.6999999999999993","11.9","5.5","3.2","-3","-0.9","4.7","2.2000000000000002","3","3.9","3.9","4",2024
"Brazil","9.1999999999999993","-4.4000000000000004","0.6","-3.4","5.3","7.9","7.5","3.6","0.3","3.2","-4.2","1","-0.5","4.7","5.3","4.4000000000000004","2.2000000000000002","3.4","0.3","0.5","4.4000000000000004","1.4","3.1","1.1000000000000001","5.8","3.2","4","6.1","5.0999999999999996","-0.1","7.5","4","1.9","3","0.5","-3.5","-3.3","1.3","1.8","1.2","-3.3","4.8","3","3.2","3.4","2.2999999999999998","1.9","2","2.4","2.5","2.5","2.5",2025
"British Indian Ocean Territories","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"British Virgin Islands","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Brunei Darussalam","no data","no data","no data","no data","no data","no data","-2.7","2","1.1000000000000001","-1.1000000000000001","1.1000000000000001","3.1","4.8","0.3","3.1","4.5","2.9","-1.5","-0.6","3.1","11","1.5","4","3.6","0.1","0","4.0999999999999996","-3.8","-3.9","-1.9","2.7","3.7","0.9","-2.1","-2.5","-0.4","-2.5","1.3","0.1","3.9","1.1000000000000001","-1.6","-1.6","1.1000000000000001","4.0999999999999996","0.6","2.6","2.6","2.5","2.6","3","2.9",2024
