"Real GDP growth (Annual percent change)","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","Estimates start after"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Cuba","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Curacao","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Cyprus","5.9","3.1","6.3","5.3","8.8000000000000007","4.7","3.6","7.1","8.3000000000000007","8.1","7.4","0.7","9.4","0.7","5.9","9.9","1.4","2.6","6.1","5","6","4","3.7","2.6","5","4.9000000000000004","4.7","5.0999999999999996","3.6","-2","2.2999999999999998","0.4","-3.4","-6.6","-1.8","3.4","6.6","5.7","6.3","5.9","-3.2","11.4","8.3000000000000007","3.6","3.9","3.8","3","3","3","3","3","3",2025
"Czech Republic","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","4.5","-0.6","-0.4","1.4","4","2.9","1.5","3.3","4.7","6.4","6.6","5.5","2.6","-4.8","2.7","1.8","-0.8","0","2.2000000000000002","5","2.6","5.2","2.8","3.6","-5.3","4","2.8","0","1.3","2.5","2.2000000000000002","2.2000000000000002","2.1","1.9","1.8","1.8",2025
"Côte d'Ivoire","5.2","3.5","0.2","-2.5","-2","3.6","4.8","-0.5","1.1000000000000001","2.9","-1.1000000000000001","0","-0.2","-0.2","0.2","5.6","8.1","5.7","4.9000000000000004","1.6","-2.1","0.1","-1.7","-1.4","1.2","1.7","1.5","1.8","2.5","3.3","2","-4.9000000000000004","10.9","9.3000000000000007","8.8000000000000007","8.8000000000000007","7.2","7.4","4.8","6.7","0.7","7.1","6.4","6.6","6","6.5","6.2","6.3","6.6","7","6.8","6.5",2024
"Denmark","-0.7","-0.7","3.9","2.6","4.3","4.2","4.7","0.5","0.3","0.7","1.7","1.5","2","-0.1","5.3","3","2.9","3.2","2.2999999999999998","3","3.7","1","0.5","0.4","2.8","2.4","3.8","1","-0.4","-5","1.6","1.3","0","1.4","1.3","2.1","3.1","3.1","1.9","1.7","-1.8","6.5","0.4","0.6","3.5","2.9","2","1.6","1.6","1.5","1.5","1.5",2025
"Djibouti","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-4.5","0.6","-6.8","-1.4","-3.5","-3.7","-1.2","0.1","2.9","0.7","1.8","3.2","3.2","2.8","3.1","4.8","5","5.8","1.6","4.0999999999999996","7.3","4.8","5","7.2","7.3","7.1","5.5","4.8","5.5","1.2","4.4000000000000004","5.2","6.8","7","6","6","6","5.5","5.5","5.5","5.5",2024
"Dominica","13.4","10.8","4.0999999999999996","2.6","4.2","1.4","7.1","6.3","7.8","-0.2","5.4","1.3","2","2.2000000000000002","0","3","3.1","2.2000000000000002","3.8","0.4","2.2999999999999998","-0.1","-2.8","6.4","3.1","0.7","4.7","6.4","7.1","-1.2","0.7","-0.2","-1.1000000000000001","-1","4.8","-2.7","2.8","-6.6","3.5","5.5","-16.600000000000001","6.9","5.6","4.7","3.5","4.5","3.1","2.8","2.7","2.4","2.1","2",2024
"Dominican Republic","8","4.3","1.7","4.5999999999999996","1.3","-2.1","3.5","10.1","2.2000000000000002","4.4000000000000004","-5.5","0.9","11.2","7.4","2.6","5.7","6","8.9","6.7","6","4.7","2.5","4.5","-1.3","2.6","9.4","9.1999999999999993","7.4","3.3","1","8.4","3.2","2.8","4.9000000000000004","7.1","7","6.7","3.9","7.1","4.9000000000000004","-7.9","14","5.2","2.2000000000000002","5","2.1","3.7","4.4000000000000004","4.7","4.9000000000000004","5","5",2025
"Ecuador","4.9000000000000004","3.9","1.2","-2.8","4.2","4.4000000000000004","3.1","-6","10.5","0.3","3","5.0999999999999996","3.6","2","4.3","2.2999999999999998","1.7","4.3","3.3","-4.7","1.1000000000000001","4.2","4.9000000000000004","2.9","6.8","5.4","4.3","1.9","6.6","1.1000000000000001","4","8.5","5.8","7.2","4.2","0.1","-0.7","6","1","0.2","-9.1999999999999993","9.4","5.9","1.8","-1.9","3.7","2.5","2.5","2.6","2.8","3","3",2025
"Egypt","3.4","2.2000000000000002","7.3","8.9","8","7.4","4.8","4.3","4","3","2.2999999999999998","2.1","0.3","2.9","4.2","4.5","4.9000000000000004","5.9","7.5","6.1","5.4","3.5","3.2","3.2","4.0999999999999996","4.5","6.8","7.1","7.2","4.7","5.0999999999999996","1.8","2.2000000000000002","3.3","2.9","4.4000000000000004","4.3","4.2","5.3","5.5","3.6","3.3","6.7","3.8","2.4","4.4000000000000004","4.2","4.8","5.5","5.2","4.8","4.8",2025
"El Salvador","-8.6","-5.7","-6.3","1.5","1.3","0.6","0.2","2.5","1.9","1","4.8","1.5","7","5.8","4.7","4.7","0.8","3.1","2.7","2.2000000000000002","1.1000000000000001","0.9","1.6","1.6","0.9","2.7","4.3","1.9","2.1","-2.1","2.1","3.8","2.8","2.2000000000000002","1.7","2.4","2.5","2.2999999999999998","2.4","2.4","-7.9","11.9","3","3.5","2.6","3.7","3.3","3","3","3","3","3",2024
"Equatorial Guinea","4.8","5.8","2.2000000000000002","5","1","12.9","-2.2999999999999998","4.4000000000000004","2.7","-1.2","2.5","-1.2","33","10.5","16.8","26.5","52.7","148","24.8","26.4","110.5","60","19.600000000000001","14.5","30.4","8.1999999999999993","6.5","15.3","17.8","1.3","-8.9","6.5","8.3000000000000007","-4.0999999999999996","0.4","-9.1","-8.8000000000000007","-5.7","-6.2","-5.5","-4.8","0.9","3.2","-5.0999999999999996","0.9","-6.4","-2.7","-1.3","1.1000000000000001","2.1","2.4","2.5",2024
"Eritrea","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","12.9","20.9","2.2999999999999998","9.1","7.9","2","0.2","-12.4","8.8000000000000007","3","-2.7","1.5","2.6","-1","1.4","-19.399999999999999","12.2","10.9","25.7","1.9","-10.5","30.9","-20.6","7.4","-10","13","3.8","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2019
"Estonia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-1.6","2.2000000000000002","4.9000000000000004","13.1","4.3","-0.4","10.1","5.9","6.9","7.6","6.8","9.5","9.8000000000000007","7.6","-5.0999999999999996","-14.6","2.4","7.6","3.7","1.8","3.3","1.8","3.1","5.6","3.7","3.7","-2.9","8.3000000000000007","-1.2","-2.7","-0.1","0.6","1.4","1.9","2.2999999999999998","2.1","1.7","1.7",2025
"Eswatini","-3.8","6.9","1.4","-0.5","2.5","1.9","18.600000000000001","10","7.6","9.4","9.9","1.8","3.2","3.1","2.4","4.8","3.8","3.1","2.6","3","1.8","1.1000000000000001","4.4000000000000004","3.9","3.6","6","6","4.4000000000000004","0.8","1.6","3.8","2.2000000000000002","5.4","3.9","2.1","1.7","2.9","3.5","0.1","6.4","-3","4.2","0.4","3.5","3","3.6","4","3.5","2.9","2.9","2.8","2.7",2024
"Ethiopia","4","0","1","7.8","-2.2999999999999998","-11.4","9.6999999999999993","13.9","0.6","-0.5","2.6","-7.2","-8.9","13.4","3.5","6.1","13.5","2.8","-4.2","6.3","9.8000000000000007","7.4","1.6","-2.1","11.7","12.6","11.5","11.8","11.2","10","10.6","11.4","8.6999999999999993","9.9","10.3","10.4","8","10.199999999999999","7.7","9","6.1","6.3","6.4","7.2","8.1","9.1999999999999993","9.1999999999999993","7.9","8.1999999999999993","8.5","8","7.7",2025
"Faeroe Islands","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Falkland Islands","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Fiji","-1.7","6","-1.1000000000000001","-4.2","10.1","-3.8","6.6","-7.2","3.5","13.9","5.8","-2.7","6.1","2.6","5.0999999999999996","2.6","4.8","-2.4","1.3","8.6999999999999993","-1.7","1.9","3.2","0.8","5.4","-1.3","1.9","-0.9","1","-1.4","3","2.7","1.4","4.7","5.6","4.5","2.4","5.4","3.8","7.6","-17.2","-4.4000000000000004","17.7","9.4","3.5","3.2","2.4","2.7","3","3.1","3.3","3.4",2024
"Finland","5.7","1.3","3.1","3.1","3.2","3.5","2.7","3.6","5.2","5.0999999999999996","0.2","-5.9","-3.3","-0.8","4","4.2","3.7","6.4","5.5","4.4000000000000004","5.8","2.6","1.7","2","4","2.8","4","5.3","0.8","-8.1","3.2","2.4","-1.5","-1","-0.5","0.5","2.6","3.3","1.2","1.3","-2.5","2.7","0.8","-1.3","0.4","0.2","1","1.5","1.4","1.4","1.2","1.2",2024
"France","1.8","1.2","2.4","1.3","1.7","1.7","2.2999999999999998","2.6","4.7","4.5999999999999996","2.8","1.3","1.4","-0.4","2.4","2.5","1.3","2.5","3.5","3.3","4.4000000000000004","1.8","1.1000000000000001","1","2.5","2","2.9","2.5","0.3","-2.7","1.8","2.5","0.2","0.9","1","1","0.7","2.2999999999999998","1.6","2.1","-7.6","6.8","2.8","1.6","1.1000000000000001","0.9","0.9","0.9","1.2","1.2","1.1000000000000001","1.1000000000000001",2025
"French Guiana","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"French Polynesia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Gabon","0","-4","4.0999999999999996","2","4.9000000000000004","5.8","-2.1","-15.4","3.5","15.4","5.0999999999999996","6.1","-3.1","3.9","3.7","5","3.6","5.7","3.5","-8.9","-1.9","2.1","-0.2","2.2000000000000002","0.7","3.9","-3.6","6.5","-3","-1.2","7.4","7.1","5.3","5.5","4.4000000000000004","3.9","2.1","0.5","0.9","3.8","-1.8","1.5","3","2.4","3.4","2.5","2.7","2.8","2.8","2.8","2.8","2.9",2024
"Gambia, The","0.7","-9.5","20.8","13.5","-7.6","3.6","2.4","2.8","1.7","4.3","5.7","2.2000000000000002","1.8","3.8","-3.4","3.3","2.9","1.4","6.5","6.4","5.5","5.8","-3.2","6.9","7","-2.4","-0.6","3","6.3","6.7","5.9","-8.1","5.2","2.9","-1.4","4.0999999999999996","1.9","4.8","7.2","6.2","0.6","5.3","5.5","5.9","5.6","6","5.0999999999999996","5","5","5","5","5",2023
"Georgia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","2.6","10.5","10.3","3","2.9","1.9","4.8","5.5","11.2","5.8","9.6","9.4","12.6","2.4","-3.7","6.9","7.9","6.6","5.0999999999999996","4.0999999999999996","3.4","3.4","5.2","6.1","5.4","-6.3","10.6","11","7.8","9.6999999999999993","7.5","5.3","5","5","5","5","5",2025
"Germany","1.3","0.1","-0.8","1.6","2.8","2.2000000000000002","2.4","1.5","3.7","3.9","5.7","5","2","-1","2.6","1.5","1","1.9","2.1","2.1","2.9","1.6","-0.2","-0.5","1.2","0.9","3.9","2.9","0.9","-5.6","4.0999999999999996","3.8","0.5","0.4","2.2000000000000002","1.7","2.2000000000000002","2.8","1.1000000000000001","1","-4.0999999999999996","3.9","1.8","-0.9","-0.5","0.2","0.8","1.2","1.2","0.9","0.7","0.6",2025
"Ghana","0.5","-3.8","-8.3000000000000007","-6.2","9.4","6.4","6.2","6.7","6.5","4.5","3.6","4.8","4.5","4.8","3.5","4.2","4.8","5.8","5","4.5","3.6","3.8","4.5999999999999996","5.0999999999999996","5.4","6.2","5.8","4.0999999999999996","9","5.7","7.8","14","8.4","7.2","2.9","2.1","3.4","8.1","6.2","6.5","0.5","5.0999999999999996","3.8","3.1","5.8","6","4.8","4.9000000000000004","5","5","5","5",2024
"Gibraltar","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Greece","0.7","-1.6","-1.1000000000000001","-1.1000000000000001","2","2.5","0.5","-2.2999999999999998","4.3","3.8","0","3.1","0.7","-1.6","2","2.1","1.4","3.6","3.4","2.7","4.0999999999999996","4.7","4.7","5.8","5.4","1.2","6.4","3.5","0.1","-4.0999999999999996","-5.7","-9.9","-8.3000000000000007","-2.2999999999999998","0.8","-0.2","0","1.5","2.1","2.2999999999999998","-9.1999999999999993","8.6999999999999993","5.5","2.1","2.1","2.1","1.8","1.7","1.6","1.6","1.6","1.6",2025
"Greenland","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Grenada","15.1","1.4","4.0999999999999996","3.3","4","6","7.4","9.1","2.9","3.8","4.2","1.4","-0.8","-2","1.8","2.2000000000000002","4.4000000000000004","4.9000000000000004","11.8","7","5.0999999999999996","-2","3.4","9.5","-0.6","13.3","-4","6.1","0.9","-6.6","-0.5","0.8","-1.2","2.4","7.3","6.4","3.7","4.4000000000000004","4.4000000000000004","0.7","-13.8","4.7","7.3","4.5","2.4","4.4000000000000004","3.1","3.1","3","2.7","2.7","2.7",2025
"Guadeloupe","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Guam","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Guatemala","3.7","0.6","-3.5","-2.5","0.5","-0.6","0.1","3.6","3.9","3.9","3.1","3","4.5999999999999996","3.4","3.5","4.4000000000000004","2.8","4.0999999999999996","4.5999999999999996","3.7","2.5","3.1","3.8","2.6","3.1","3.3","5.4","6.3","3.3","0.5","2.9","4.2","3","3.7","4.4000000000000004","4.0999999999999996","2.7","3.1","3.4","4","-1.8","8","4.2","3.5","3.7","4.0999999999999996","3.9","4","3.9","3.8","3.9","3.9",2024
"Guinea","2.6","0.6","1.8","1.3","1.4","5","3.1","3.3","6.3","4","4.3","2.5","3.3","5","4","4.7","4.5","5.2","3.6","3.8","2.5","3.7","5.2","1.2","2.2999999999999998","3","2.5","6.5","4.0999999999999996","-1.5","4.2","5.6","5.9","3.9","3.7","3.8","10.8","10.3","6.4","5.6","4.7","5.6","4","6.2","6.1","6.7","8.6999999999999993","9.3000000000000007","9.8000000000000007","10.199999999999999","8.5","7.2",2024
"Guinea-Bissau","no data","-0.5","4.2","-3.4","5.5","4.3","-1","5.6","2","2.9","4.5999999999999996","7.3","3.1","2.2999999999999998","3","4","3.7","6","-22.4","16.8","1.1000000000000001","4.8","3.7","-0.3","1.2","6.6","2.7","2.6","4.5","2.4","5.6","8.1","-1.7","3.3","1","6.1","5.3","4.8","3.8","4.5","1.5","6.2","4.5999999999999996","5.2","4.8","5.5","4.9000000000000004","4.9000000000000004","4.5","4.5","4.2","4.2",2023
"Guyana","-2.1","0.6","-8.9","-11.5","2.1","0.4","-0.2","-0.1","-6","-4.9000000000000004","-3","6","7.8","8.1999999999999993","8.5","5.0999999999999996","8","6.2","-1.7","3","-1.3","2.2999999999999998","1.1000000000000001","-0.7","1.6","-1.9","5.0999999999999996","7","2","3.3","4.4000000000000004","5.4","5","3.7","1.7","0.7","3.8","3.7","4.4000000000000004","5.4","43.5","20.100000000000001","63.3","33.799999999999997","43.8","19.3","16.2","19.7","22.1","12.8","11.5","1.1000000000000001",2025
"Haiti","7.3","1.1000000000000001","-2.8","-1.5","0.2","0.8","0.3","-0.4","0.6","-1.1000000000000001","-0.4","1.3","-2.2999999999999998","-4.9000000000000004","-11.6","9.9","4.0999999999999996","2.7","2.2000000000000002","2.7","0.9","-0.3","1.1000000000000001","3.5","-1.3","3.1","1.8","4.7","2.7","5.9","-5.7","5.0999999999999996","0.5","4.3","1.7","2.6","1.8","2.5","1.7","-1.7","-3.3","-1.8","-1.7","-1.9","-4.2","-2.7","-1.7","0.5","1.2","1.3","1.5","1.5",2025
"Holy See","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Honduras","0.6","-1.2","-2.1","0.9","6.3","5.6","5.3","6.6","1.7","2.7","2.8","-3.3","6.1","6.5","0.2","6.2","1.9","4.5999999999999996","3.6","-0.7","7.3","2.7","3.8","4.5","6.2","6.1","6.6","6.2","4.2","-2.4","3.7","3.8","4.0999999999999996","2.8","3.1","3.8","3.9","4.8","3.8","2.6","-9","12.6","4.0999999999999996","3.6","3.6","3.7","3.3","3.7","3.8","3.8","3.8","3.8",2024
"Hong Kong SAR","10.3","9.1999999999999993","2.9","6","10","0.7","11.1","13.4","8.5","2.2999999999999998","3.8","5.7","6.2","6.2","6","2.4","4.3","5.0999999999999996","-5.9","2.5","7.7","0.6","1.7","3.1","8.6999999999999993","7.4","7","6.5","2.1","-2.5","6.8","4.8","1.7","3.1","2.8","2.4","2.2000000000000002","3.8","2.8","-1.7","-6.5","6.5","-3.7","3.2","2.6","3.5","2.4","2.4","2.2999999999999998","2.2999999999999998","2.2000000000000002","2.2000000000000002",2025
"Hungary","0.2","2.9","2.8","0.7","2.7","-0.3","1.5","4.0999999999999996","-0.1","0.7","-3.5","-11.9","-3.1","-0.6","2.9","2.5","0.1","3","3.8","3.1","4.4000000000000004","4.0999999999999996","4.7","3.9","5","4.3","3.9","0.3","1","-6.7","1.1000000000000001","1.9","-1.3","2","4.3","3.7","2.4","4.0999999999999996","5.6","5.0999999999999996","-4.3","7.2","4.2","-0.8","0.6","0.4","1.7","2","2.2999999999999998","2.5","2.5","2.5",2025
"Iceland","5.7","4.3","2.2000000000000002","-2.2000000000000002","4.0999999999999996","3.3","6.3","8.5","-0.1","0.3","1.2","-0.2","-3.4","1.3","3.6","0.1","4.5","4.0999999999999996","7","3.9","4.9000000000000004","3.8","0.5","2.2999999999999998","7.6","7","5.7","8.6999999999999993","1.7","-8.3000000000000007","-2.2000000000000002","1.4","1.2","3.6","1.9","3.8","6.2","3.5","4.7","1.1000000000000001","-6.6","5.2","8.9","5","-1.3","1.3","1.9","2.1","2.4","2.4","2.4","2.4",2024
"India","6.7","6","3.5","7.3","3.8","5.3","4.8","4","9.6","5.9","5.5","1.1000000000000001","5.5","4.8","6.7","7.6","7.5","4","6.2","8.8000000000000007","3.8","4.8","3.8","7.9","7.9","7.9","8.1","7.7","3.1","7.9","8.5","5.2","5.5","6.4","7.4","8","8.3000000000000007","6.8","6.5","3.9","-5.8","9.6999999999999993","7.6","7.2","7.1","7.6","6.5","6.5","6.5","6.5","6.5","6.5",2025
"Indonesia","9.9","7.6","2.2000000000000002","4.2","7.6","3.9","7.2","6.6","7","9.1","9","8.9","6.5","8","7.5","8.1999999999999993","7.8","4.7","-13.1","0.8","5","3.6","4.5","4.8","5","5.7","5.5","6.3","7.4","4.7","6.4","6.2","6","5.6","5","4.9000000000000004","5","5.0999999999999996","5.2","5","-2.1","3.7","5.3","5","5","5.0999999999999996","5","5.0999999999999996","5.2","5.2","5.2","5.2",2025
"Iran","-21.6","-5.7","23.2","11.1","-7.1","1.9","-9.8000000000000007","-0.2","-6.1","6.1","13.6","12.7","3.3","-1.5","-1.7","2.4","6.4","1.4","2.1","2","5.8","2.4","8.1","8.6","4.3","3.2","5","8.1999999999999993","0.3","1","5.8","5.7","-3.7","-1.5","5","-1.4","6.5","3","-3.7","-2.4","4.4000000000000004","4.0999999999999996","4.4000000000000004","5.3","3.7","-1.5","-6.1","3.2","1.5","1.8","2.1","2.1",2025
"Iraq","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","1.8","-8.1999999999999993","-36.700000000000003","53.4","1.7","5.6","1.9","8.1999999999999993","3.4","6.4","7.5","13.9","7.6","0.7","2.5","16.2","-1.5","2.6","5.6","-12.4","1.4","7.7","0.9","0.1","-0.4","-6.8","11.3","3.5","3.3","3.4","3.5",2025
"Ireland","2.9","2.5","1.5","-0.7","3.2","1.9","0.4","3.6","3","5.6","7.7","1.6","3.6","2.2999999999999998","5.9","9.6","9.1","10.7","8.8000000000000007","10.5","9.4","5.3","5.9","3","6.8","5.7","5","5.3","-4.5","-5.0999999999999996","1.7","1.6","-0.4","2.2000000000000002","9.4","24.6","1.2","10.1","7.7","5","7.2","16.3","7.5","-2.5","2.6","12.3","2.5","2.4","2.6","2.4","2.2999999999999998","2.2999999999999998",2025
"Isle of Man","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2026
"Israel","3.6","4.7","1.4","2.6","2.2000000000000002","4.5","3.6","7.5","3.6","1.4","6.6","4.5999999999999996","7.2","3.8","7","9.6999999999999993","5.8","3.6","4.0999999999999996","3.3","8.6","0.3","-0.2","1.4","4.7","4.4000000000000004","5.6","6.3","3.2","1.2","5.5","5.5","2.4","4.0999999999999996","3.7","2.2000000000000002","4.5","4.3","4.0999999999999996","3.6","-1.8","9.3000000000000007","6.4","2.1","1","2.9","3.5","4.4000000000000004","3.7","3.5","3.4","3.4",2025
"Italy","3.1","4.7","0.4","1.2","3.2","2.8","2.9","3.2","4.2","3.4","2.1","1.4","0.8","-0.9","2.2000000000000002","2.9","1.5","1.9","1.8","1.7","3.9","2","0.3","0.1","1.5","0.8","1.8","1.5","-1","-5.3","1.5","0.7","-3.1","-1.8","0","0.9","1.2","1.6","0.8","0.4","-8.9","8.9","4.8","0.9","0.8","0.5","0.5","0.5","0.8","0.7","0.7","0.7",2025
"Jamaica","-4","4.4000000000000004","3.1","4.2","0.9","-0.9","7","7.7","-4","4.7","4.9000000000000004","0.8","2.8","2.2000000000000002","1.9","2.5","0.2","-1.6","-1.2","1","0.8","1.3","0.7","3.7","1.3","0.9","2.9","1.4","-0.8","-3.4","-1.4","1.4","-0.5","0.2","0.6","1.4","2.8","2.2999999999999998","2.5","1.8","-8.3000000000000007","5.7","6.4","2.7","-0.5","-0.1","-1.2","3.1","1.8","1.5","1.5","1.5",2024
"Japan","3.2","4.3","3.3","3.6","4.4000000000000004","5.2","3.3","4.5999999999999996","6.7","4.9000000000000004","4.8","3.5","0.9","-0.5","0.9","2.2999999999999998","3.1","1.4","-1.8","-0.3","3","0.3","0.1","1.4","2.1","1.8","1.5","1.7","-1.2","-5.9","4.0999999999999996","-0.2","1.6","2","0.9","1.8","0.7","1.6","0.8","-0.3","-4.3","3.6","1.3","0.7","-0.2","1.2","0.7","0.6","0.6","0.6","0.6","0.6",2025
"Jordan","11.1","15","5.8","1.4","5.5","-1.1000000000000001","5.9","2.7","2.9","-10.7","-1.6","-5.7","16.899999999999999","4.4000000000000004","5","6","1.9","3.7","3.2","3.2","4.2","5","6.6","4","8.3000000000000007","8.8000000000000007","8.5","8.4","8.3000000000000007","5.0999999999999996","2.6","2.9","2.4","2.7","3.3","2.5","2.1","2.5","1.9","1.9","-1.2","3.8","2.7","3.1","2.6","2.7","2.7","3.1","3","3","3","3",2024
"Kazakhstan","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","-9.1999999999999993","-12.6","-8.1999999999999993","0.5","1.7","-1.9","2.7","9.8000000000000007","13.5","9.8000000000000007","9.3000000000000007","9.6","9.6999999999999993","10.7","8.9","3.3","1.2","7.3","7.5","5","5.9","4.3","1","0.9","3.9","4.0999999999999996","4.5","-2.6","4.0999999999999996","3.2","5.0999999999999996","5","6.5","4.5999999999999996","4.4000000000000004","3.3","3.6","3.6","3.6",2024
"Kenya","5.6","4.0999999999999996","5.0999999999999996","1.6","1.6","4.0999999999999996","7","5.8","6.1","4.5999999999999996","4.0999999999999996","1.3","-1.1000000000000001","-0.1","2.5","4.3","4.5","0.4","3","2.2000000000000002","0.3","4","0.5","2.9","4.5999999999999996","5.7","5.9","6.9","0.2","3.3","8.1","5.0999999999999996","4.5999999999999996","3.8","5","5","4.2","3.8","5.7","5.0999999999999996","-0.3","7.6","4.9000000000000004","5.7","4.7","4.9000000000000004","4.5","4.7","5.0999999999999996","5","5","5",2024
"Kiribati","-1.1000000000000001","6.1","-1.1000000000000001","-9.8000000000000007","13.9","-13.2","-2.5","1.3","22","-7.3","-6.4","-5.6","24","-0.1","2","2.8","-0.1","1.2","4.4000000000000004","-3.9","6.7","-3.1","1.4","-1.6","-0.6","1.3","5.8","3.1","-3","0.5","1.2","3.3","5.8","7.7","1.3","11.3","7.1","3.7","3.5","3.3","-1.5","8.6","5","3.3","4.5999999999999996","4.3","3.1","2.4","2.2000000000000002","2.2000000000000002","2.1","2.1",2024
